AnimalID,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,percent,Health_condition,SexOutcome,WildMammalsOrNot,DaysInShelter
A798695,6,Pflugerville,Stray,Normal,Cat,Intact Male,35,Domestic Cat Breed,Bi color,8,5,Neutered Male,84,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A750197,5,Austin,Owner Surrender,Normal,Cat,Neutered Male,1096,Domestic Cat Breed,Pattern,5,5,Neutered Male,1101,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A742326,4,Austin,Stray,Normal,Dog,Spayed Female,2145,Retriever Dog Breed,Black,5,5,Spayed Female,2183,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A727255,5,Austin,Public Assist,Normal,Cat,Neutered Male,2557,Domestic Cat Breed,Pattern,5,5,Neutered Male,2564,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A786151,12,Austin,Wildlife,Injured,Other,Unknown,730,Mice predating small mammals,Gray,12,12,Unknown,730,1.0,0.38314176245210724,Unhealthy,Unknown,Not Wild Mammals,0-1 days
A666409,10,Austin,Stray,Normal,Dog,Intact Male,365,Toy Breed,White,11,10,Neutered Male,371,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A669817,12,Austin,Stray,Normal,Cat,Intact Male,39,Domestic Cat Breed,Bi color,2,11,Intact Male,83,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A770808,5,Austin,Stray,Normal,Dog,Intact Male,750,Hound Dong Breed,Red series,5,4,Neutered Male,757,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A690431,10,Austin,Stray,Normal,Cat,Intact Female,22,Domestic Cat Breed,Black,8,9,Spayed Female,1056,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A763205,12,Austin,Stray,Normal,Dog,Intact Male,54,Working Dog Breed,Bi color,12,10,Neutered Male,60,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A700709,4,Travis,Stray,Normal,Dog,Intact Male,1095,Hound Dong Breed,Pattern,4,4,Neutered Male,1099,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A738343,11,Austin,Stray,Normal,Cat,Intact Female,46,Domestic Cat Breed,Pattern,11,9,Intact Female,54,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A725375,4,Travis,Stray,Normal,Dog,Neutered Male,943,Retriever Dog Breed,Bi color,5,9,Neutered Male,968,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A771761,5,Austin,Stray,Normal,Cat,Intact Female,730,Domestic Cat Breed,Bi color,5,5,Intact Female,733,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A750584,5,Austin,Stray,Normal,Cat,Intact Male,39,Domestic Cat Breed,Bi color,6,4,Intact Male,42,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A746905,4,Austin,Stray,Injured,Cat,Intact Male,732,Domestic Cat Breed,Pattern,4,4,Intact Male,732,1.0,0.38314176245210724,Unhealthy,Intact,Not Wild Mammals,0-1 days
A778042,10,Austin,Owner Surrender,Normal,Cat,Spayed Female,69,Domestic Cat Breed,Pattern,10,8,Spayed Female,70,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A768981,3,Austin,Stray,Normal,Dog,Intact Female,151,Terrier Dog Breed,Bi color,4,10,Spayed Female,155,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A775105,6,Sunset Valley,Stray,Normal,Dog,Intact Female,365,Retriever Dog Breed,Pattern,7,6,Spayed Female,372,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A678199,5,Del Valle,Owner Surrender,Normal,Cat,Intact Male,181,Domestic Cat Breed,Black,6,11,Neutered Male,221,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A756052,8,Austin,Stray,Normal,Cat,Intact Female,122,Shorthair Cat Breed,Pattern,8,4,Intact Female,127,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A810959,12,Austin,Owner Surrender,Normal,Dog,Spayed Female,883,Herding Dog Breed,Gold series,12,7,Spayed Female,890,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A777175,7,Austin,Stray,Normal,Cat,Intact Male,76,Domestic Cat Breed,Bi color,8,5,Neutered Male,101,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A524150,1,Austin,Stray,Normal,Dog,Spayed Female,3021,Hound Dong Breed,Pattern,1,10,Spayed Female,3022,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A803394,8,Austin,Stray,Normal,Dog,Intact Male,730,Terrier Dog Breed,Bi color,10,8,Neutered Male,788,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A696292,9,Outside Jurisdiction,Stray,Normal,Dog,Neutered Male,2234,Terrier Dog Breed,Bi color,9,8,Neutered Male,2245,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A786510,12,Austin,Stray,Normal,Cat,Intact Female,86,Domestic Cat Breed,Pattern,12,10,Spayed Female,91,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A667401,11,Austin,Stray,Normal,Dog,Intact Female,549,Toy Breed,Brown series,11,5,Spayed Female,559,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A791528,3,Travis,Stray,Normal,Dog,Neutered Male,2191,Retriever Dog Breed,White,3,3,Neutered Male,2191,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A723972,4,Austin,Stray,Normal,Dog,Intact Female,366,Toy Breed,Bi color,4,4,Spayed Female,373,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A683514,7,Austin,Stray,Sick,Cat,Unknown,91,Domestic Cat Breed,Pattern,7,4,Unknown,91,0.0,0.38314176245210724,Unhealthy,Unknown,Not Wild Mammals,0-1 days
A795886,5,Austin,Stray,Normal,Cat,Intact Female,27,Domestic Cat Breed,Pattern,7,4,Spayed Female,82,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A793365,4,Austin,Stray,Normal,Cat,Spayed Female,730,Domestic Cat Breed,Pattern,5,4,Spayed Female,740,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A733865,8,Travis,Public Assist,Normal,Dog,Intact Male,1461,Toy Breed,Bi color,9,8,Neutered Male,1472,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A803099,8,Austin,Owner Surrender,Normal,Cat,Intact Female,122,Domestic Cat Breed,Pattern,9,4,Spayed Female,131,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A679779,5,Austin,Stray,Normal,Cat,Intact Male,28,Shorthair Cat Breed,Pattern,5,4,Intact Male,29,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A756427,8,Austin,Owner Surrender,Normal,Dog,Intact Male,61,Terrier Dog Breed,Pattern,8,6,Intact Male,61,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A665179,12,Austin,Owner Surrender,Normal,Dog,Spayed Female,430,Herding Dog Breed,Bi color,12,10,Spayed Female,436,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
